Ruc|Nombre/Razon|A partir del|Resolucion|
20511416877|GLOBAL SOURCING SOCIEDAD ANONIMA CERRADA|01/09/2008|RS R.S.124-2008|
20382056681|GLOBENATURAL INTERNACIONAL S.A.|01/02/2006|RS R.S.254-2005|
20100190797|GLORIA S A|01/02/2003|RS R.S.181-2002|
20100153751|GMD S A|01/01/2007|RS R.S.219-2006|
20100356270|GMI S A INGENIEROS CONSULTORES|01/09/2010|RS R.S.217-2010|
20493040643|GMV S.A.|02/05/2011|RS R.S.082-2011|
20119205868|GNECCO Y COMPA—IA SOCIEDAD ANONIMA CERRADA|01/02/2003|RS R.S.181-2002|
20167237895|GOBIERNO REGIONAL AREQUIPA - RED DE SALU D N 1 CAMANA - CARAVELI|01/11/2002|RS R.S.135-2002|
20452393493|GOBIERNO REGIONAL AYACUCHO|01/06/2003|RS R.S.101-2003|
20453744168|GOBIERNO REGIONAL CAJAMARCA|01/06/2003|RS R.S.101-2003|
